Source name	Young's modulus (Pa)	Contact X (μm)	Contact Y (nN)	Transition indent (μm)	Transition force (pN)	Deformation (μm)	Adhesion force (pN)	R Squared	Spring const (N/m)	Sensitivity (μm/V)	Tip geometry	Batch	
/home/jorge/Documentos/kruno/not-treated/force-save-2019.11.19-12.37.42.221.jpk-force	127.275	4.56	-2.7744	1.4831	664.5337	1.4831	69.539	0.9878	0.0316	0.0234	Paraboloid (Hertz)	3	
/home/jorge/Documentos/kruno/not-treated/force-save-2019.11.19-12.45.16.822.jpk-force	89.269	7.5274	-0.7135	1.6939	576.776	1.7298	79.0926	0.9907	0.0316	0.0234	Paraboloid (Hertz)	3	
/home/jorge/Documentos/kruno/not-treated/force-save-2019.11.19-12.50.42.379.jpk-force	115.8135	2.2527	-1.7289	1.4238	574.7179	1.5765	17.4522	0.9884	0.0316	0.0234	Paraboloid (Hertz)	3	
/home/jorge/Documentos/kruno/not-treated/force-save-2019.11.19-12.44.58.959.jpk-force	79.5623	7.3878	-0.6523	1.887	602.4133	1.8882	44.611	0.992	0.0316	0.0234	Paraboloid (Hertz)	3	
/home/jorge/Documentos/kruno/not-treated/force-save-2019.11.19-12.43.50.320.jpk-force	185.2795	5.9313	-0.5369	1.1082	626.0181	1.134	36.8328	0.9938	0.0316	0.0234	Paraboloid (Hertz)	3	
/home/jorge/Documentos/kruno/not-treated/force-save-2019.11.19-12.39.06.445.jpk-force	138.4717	2.9232	0.2385	1.3107	608.0093	1.3597	54.9388	0.9885	0.0316	0.0234	Paraboloid (Hertz)	3	
/home/jorge/Documentos/kruno/not-treated/force-save-2019.11.19-12.37.35.269.jpk-force	90.1775	4.4428	-2.7523	1.7233	591.4006	1.7671	53.0033	0.9924	0.0316	0.0234	Paraboloid (Hertz)	3	
/home/jorge/Documentos/kruno/not-treated/force-save-2019.11.19-12.50.30.655.jpk-force	119.6419	2.5652	-1.6801	1.3813	580.8079	1.4934	201.2209	0.9757	0.0316	0.0234	Paraboloid (Hertz)	3	
/home/jorge/Documentos/kruno/not-treated/force-save-2019.11.19-12.45.34.765.jpk-force	65.7099	8.2173	-0.7568	2.167	602.0889	2.1741	98.5073	0.9967	0.0316	0.0234	Paraboloid (Hertz)	3	
/home/jorge/Documentos/kruno/not-treated/force-save-2019.11.19-12.35.09.674.jpk-force	161.8137	2.1393	-2.2591	1.3094	712.9911	1.3094	80.9582	0.9898	0.0316	0.0234	Paraboloid (Hertz)	3	
