Source name	Young's modulus (Pa)	Contact X (μm)	Contact Y (pN)	Transition indent (μm)	Transition force (pN)	Deformation (μm)	Adhesion force (pN)	R Squared	Spring const (N/m)	Sensitivity (μm/V)	Tip geometry	Batch	
/home/jorge/Documentos/kruno/50ppm/force-save-2019.11.19-14.58.59.327.jpk-force	254.2959	1.4812	-1317.2007	0.9778	718.2429	0.9778	40.6592	0.9937	0.0324	0.0217	Paraboloid (Hertz)	2	
/home/jorge/Documentos/kruno/50ppm/force-save-2019.11.19-15.22.21.877.jpk-force	28.9945	2.8365	-627.7238	2.6457	402.2917	3.0983	46.5178	0.8302	0.0324	0.0217	Paraboloid (Hertz)	2	
/home/jorge/Documentos/kruno/50ppm/force-save-2019.11.19-15.03.56.517.jpk-force	-2.3585	4.8349	-284.527	7.2299	-133.408	7.2299	84.7894	0.9707	0.0324	0.0217	Paraboloid (Hertz)	2	
/home/jorge/Documentos/kruno/50ppm/force-save-2019.11.19-15.11.18.586.jpk-force	96.5579	4.1931	-410.4663	1.8443	700.035	1.8456	236.5123	0.9959	0.0324	0.0217	Paraboloid (Hertz)	2	
/home/jorge/Documentos/kruno/50ppm/force-save-2019.11.19-15.29.26.445.jpk-force	175.5279	1.0814	-808.2327	1.2933	736.7359	1.2947	251.9596	0.998	0.0324	0.0217	Paraboloid (Hertz)	2	
/home/jorge/Documentos/kruno/50ppm/force-save-2019.11.19-15.01.53.075.jpk-force	79.0326	2.3365	-196.9286	2.181	747.3416	2.181	120.2677	0.9405	0.0324	0.0217	Paraboloid (Hertz)	2	
/home/jorge/Documentos/kruno/50ppm/force-save-2019.11.19-16.05.09.178.jpk-force	-2.7566	0.223	-1121.5479	2.607	-37.6701	2.607	10.7186	0.6333	0.0324	0.0217	Paraboloid (Hertz)	2	
/home/jorge/Documentos/kruno/50ppm/force-save-2019.11.19-15.11.25.918.jpk-force	94.1735	4.0549	-395.9816	1.2929	417.8226	1.6526	125.3659	0.9572	0.0324	0.0217	Paraboloid (Hertz)	2	
/home/jorge/Documentos/kruno/50ppm/force-save-2019.11.19-15.31.59.252.jpk-force	132.6929	2.5452	-772.4848	1.4944	693.2977	1.4944	56.4362	0.9967	0.0324	0.0217	Paraboloid (Hertz)	2	
/home/jorge/Documentos/kruno/50ppm/force-save-2019.11.19-15.11.11.048.jpk-force	85.5364	3.8323	-402.3436	1.428	443.4907	1.75	233.9061	0.9471	0.0324	0.0217	Paraboloid (Hertz)	2	
/home/jorge/Documentos/kruno/50ppm/force-save-2019.11.19-15.22.01.371.jpk-force	-2.7442	2.4264	-609.0267	4.8261	-76.2276	4.8261	27.804	0.9318	0.0324	0.0217	Paraboloid (Hertz)	2	
/home/jorge/Documentos/kruno/50ppm/force-save-2019.11.19-16.07.45.075.jpk-force	33.3059	11.9239	-1106.6646	3.539	631.3726	3.539	20.1576	0.9354	0.0324	0.0217	Paraboloid (Hertz)	2	
/home/jorge/Documentos/kruno/50ppm/force-save-2019.11.19-15.29.02.064.jpk-force	114.7539	1.5401	-792.154	1.4105	564.5758	1.5915	68.2168	0.9894	0.0324	0.0217	Paraboloid (Hertz)	2	
/home/jorge/Documentos/kruno/50ppm/force-save-2019.11.19-15.22.59.009.jpk-force	74.0142	2.2378	-682.6655	1.9528	609.585	2.1148	78.4242	0.9767	0.0324	0.0217	Paraboloid (Hertz)	2	
/home/jorge/Documentos/kruno/50ppm/force-save-2019.11.19-15.29.33.855.jpk-force	124.6072	0.884	-828.8006	1.3303	566.757	1.5285	90.8479	0.9812	0.0324	0.0217	Paraboloid (Hertz)	2	
/home/jorge/Documentos/kruno/50ppm/force-save-2019.11.19-15.10.34.163.jpk-force	-0.7592	0.7733	-392.254	3.18	-10.8356	3.1826	7.3182	0.2874	0.0324	0.0217	Paraboloid (Hertz)	2	
/home/jorge/Documentos/kruno/50ppm/force-save-2019.11.19-15.11.34.529.jpk-force	100.4227	4.035	-419.2483	1.6274	602.3606	1.7498	260.2436	0.9951	0.0324	0.0217	Paraboloid (Hertz)	2	
/home/jorge/Documentos/kruno/50ppm/force-save-2019.11.19-14.58.40.277.jpk-force	157.997	1.5911	-1336.2661	1.1862	578.6829	1.3306	33.8111	0.9921	0.0324	0.0217	Paraboloid (Hertz)	2	
/home/jorge/Documentos/kruno/50ppm/force-save-2019.11.19-15.28.38.891.jpk-force	-2.6284	0.0907	-789.3603	2.4649	-25.6187	2.4649	7.7629	0.6714	0.0324	0.0217	Paraboloid (Hertz)	2	
/home/jorge/Documentos/kruno/50ppm/force-save-2019.11.19-16.06.59.045.jpk-force	37.5817	0.4595	-1046.4425	2.4797	456.2337	2.7058	21.0783	0.9501	0.0324	0.0217	Paraboloid (Hertz)	2	
/home/jorge/Documentos/kruno/50ppm/force-save-2019.11.19-16.06.02.856.jpk-force	-1.8748	2.5049	-1139.1066	4.8876	-58.4535	4.8876	4.8778	0.8558	0.0324	0.0217	Paraboloid (Hertz)	2	
/home/jorge/Documentos/kruno/50ppm/force-save-2019.11.19-15.25.38.388.jpk-force	30.5776	3.6191	-613.3981	2.6254	412.3696	2.8481	108.9352	0.8524	0.0324	0.0217	Paraboloid (Hertz)	2	
/home/jorge/Documentos/kruno/50ppm/force-save-2019.11.19-16.02.25.389.jpk-force	-3.3671	-1.2552	-927.865	1.1363	-15.5138	1.1363	18.2392	0.251	0.0324	0.0217	Paraboloid (Hertz)	2	
/home/jorge/Documentos/kruno/50ppm/force-save-2019.11.19-15.25.02.420.jpk-force	96.5753	8.5699	-585.5963	1.5882	515.1674	1.8587	70.6926	0.9745	0.0324	0.0217	Paraboloid (Hertz)	2	
/home/jorge/Documentos/kruno/50ppm/force-save-2019.11.19-15.01.39.848.jpk-force	82.8718	2.4133	-186.9095	1.9471	673.3538	2.001	100.9454	0.9731	0.0324	0.0217	Paraboloid (Hertz)	2	
/home/jorge/Documentos/kruno/50ppm/force-save-2019.11.19-15.07.00.561.jpk-force	96.9301	1.4653	-453.3135	2.0228	746.4419	2.0845	161.2655	0.9857	0.0324	0.0217	Paraboloid (Hertz)	2	
/home/jorge/Documentos/kruno/50ppm/force-save-2019.11.19-16.07.59.326.jpk-force	16.038	5.627	-1102.2659	2.3531	225.2484	3.4193	58.8464	0.5163	0.0324	0.0217	Paraboloid (Hertz)	2	
/home/jorge/Documentos/kruno/50ppm/force-save-2019.11.19-16.08.16.761.jpk-force	22.7133	5.6615	-1154.7765	2.9574	399.9535	3.4418	83.9215	0.8335	0.0324	0.0217	Paraboloid (Hertz)	2	
/home/jorge/Documentos/kruno/50ppm/force-save-2019.11.19-15.13.17.810.jpk-force	158.2846	1.9503	-512.0755	1.3342	706.0003	1.3342	185.3543	0.9651	0.0324	0.0217	Paraboloid (Hertz)	2	
/home/jorge/Documentos/kruno/50ppm/force-save-2019.11.19-15.03.47.189.jpk-force	-2.2056	-1.2211	-350.2505	1.1638	1.7489	1.1638	19.6419	0.1815	0.0324	0.0217	Paraboloid (Hertz)	2	
/home/jorge/Documentos/kruno/50ppm/force-save-2019.11.19-15.31.45.924.jpk-force	108.9823	1.6149	-789.9786	1.7027	686.8652	1.7044	72.8348	0.9966	0.0324	0.0217	Paraboloid (Hertz)	2	
/home/jorge/Documentos/kruno/50ppm/force-save-2019.11.19-15.01.18.368.jpk-force	-0.5085	-0.7108	-177.0192	1.7102	-4.5816	1.7125	118.2717	0.0446	0.0324	0.0217	Paraboloid (Hertz)	2	
/home/jorge/Documentos/kruno/50ppm/force-save-2019.11.19-15.01.30.183.jpk-force	-2.7746	3.7104	-115.6533	6.1373	-122.4034	6.1388	79.7255	0.9688	0.0324	0.0217	Paraboloid (Hertz)	2	
/home/jorge/Documentos/kruno/50ppm/force-save-2019.11.19-14.58.17.660.jpk-force	100.2167	2.2368	-1344.38	1.9067	761.6728	1.9082	27.8696	0.9957	0.0324	0.0217	Paraboloid (Hertz)	2	
/home/jorge/Documentos/kruno/50ppm/force-save-2019.11.19-15.31.52.563.jpk-force	99.9542	2.9569	-762.1224	1.7809	675.4077	1.7827	42.9812	0.997	0.0324	0.0217	Paraboloid (Hertz)	2	
/home/jorge/Documentos/kruno/50ppm/force-save-2019.11.19-15.14.54.071.jpk-force	59.1971	3.1981	-504.1426	2.0342	503.8214	2.2614	42.4553	0.9803	0.0324	0.0217	Paraboloid (Hertz)	2	
/home/jorge/Documentos/kruno/50ppm/force-save-2019.11.19-15.22.09.801.jpk-force	102.1387	0.2767	-703.6315	1.9125	759.3049	1.9125	233.4315	0.9827	0.0324	0.0217	Paraboloid (Hertz)	2	
/home/jorge/Documentos/kruno/50ppm/force-save-2019.11.19-15.02.15.197.jpk-force	112.8117	2.3895	-194.6229	1.7168	744.7591	1.7168	95.1597	0.9916	0.0324	0.0217	Paraboloid (Hertz)	2	
/home/jorge/Documentos/kruno/50ppm/force-save-2019.11.19-15.04.06.150.jpk-force	122.1176	1.8049	-377.8463	1.6629	745.379	1.6641	34.5059	0.9982	0.0324	0.0217	Paraboloid (Hertz)	2	
/home/jorge/Documentos/kruno/50ppm/force-save-2019.11.19-15.10.24.802.jpk-force	-1.6817	3.2169	-375.3273	5.6211	-59.0561	5.6211	9.9294	0.8769	0.0324	0.0217	Paraboloid (Hertz)	2	
/home/jorge/Documentos/kruno/50ppm/force-save-2019.11.19-15.02.25.339.jpk-force	129.8758	1.6871	-208.7088	1.5435	726.3214	1.5568	65.8226	0.9949	0.0324	0.0217	Paraboloid (Hertz)	2	
/home/jorge/Documentos/kruno/50ppm/force-save-2019.11.19-16.04.11.906.jpk-force	-3.6323	-1.2629	-1085.5907	1.122	-3.3708	1.122	7.9311	0.2347	0.0324	0.0217	Paraboloid (Hertz)	2	
/home/jorge/Documentos/kruno/50ppm/force-save-2019.11.19-15.11.02.246.jpk-force	86.3019	4.1248	-382.6688	1.6807	554.797	1.8583	120.9141	0.9864	0.0324	0.0217	Paraboloid (Hertz)	2	
/home/jorge/Documentos/kruno/50ppm/force-save-2019.11.19-15.13.30.146.jpk-force	79.4592	2.8529	-513.585	2.1162	702.1709	2.1162	112.6926	0.9929	0.0324	0.0217	Paraboloid (Hertz)	2	
/home/jorge/Documentos/kruno/50ppm/force-save-2019.11.19-15.25.14.561.jpk-force	86.8968	2.7197	-664.0423	2.0089	682.5927	2.0089	77.7207	0.987	0.0324	0.0217	Paraboloid (Hertz)	2	
/home/jorge/Documentos/kruno/50ppm/force-save-2019.11.19-14.58.51.108.jpk-force	115.8929	1.3438	-1278.8307	1.3749	555.7518	1.493	25.0517	0.9834	0.0324	0.0217	Paraboloid (Hertz)	2	
/home/jorge/Documentos/kruno/50ppm/force-save-2019.11.19-15.12.47.210.jpk-force	99.6496	2.3953	-441.4994	1.7377	648.829	1.7377	69.7746	0.9919	0.0324	0.0217	Paraboloid (Hertz)	2	
/home/jorge/Documentos/kruno/50ppm/force-save-2019.11.19-15.05.58.352.jpk-force	72.7781	2.3917	-406.0578	2.2674	722.5489	2.2748	79.5546	0.9952	0.0324	0.0217	Paraboloid (Hertz)	2	
/home/jorge/Documentos/kruno/50ppm/force-save-2019.11.19-15.28.54.659.jpk-force	-3.7125	1.1572	-765.1801	3.5402	-69.963	3.5402	60.7871	0.9061	0.0324	0.0217	Paraboloid (Hertz)	2	
/home/jorge/Documentos/kruno/50ppm/force-save-2019.11.19-14.57.10.237.jpk-force	196.4433	3.5645	-1258.6969	1.223	746.295	1.223	215.5466	0.9973	0.0324	0.0217	Paraboloid (Hertz)	2	
/home/jorge/Documentos/kruno/50ppm/force-save-2019.11.19-15.31.30.761.jpk-force	167.3366	3.2264	-757.8402	1.049	488.5361	1.3492	26.5686	0.9816	0.0324	0.0217	Paraboloid (Hertz)	2	
